t_s,mad,rel_pct_of_level,mean_level,p99_abs_diff,pct_pixels_changed
28.5000,0.2040,1.5761,12.95,4.00,0.72
28.5333,0.2292,1.7721,12.93,4.00,0.77
28.5667,0.2302,1.7787,12.94,3.00,0.69
28.6000,0.2163,1.6694,12.96,4.00,0.80
28.6333,0.2593,1.9970,12.98,4.00,0.89
28.6667,0.2507,1.9311,12.98,4.00,0.76
28.7000,0.3503,2.6946,13.00,4.00,0.76
28.7333,0.5303,4.0751,13.01,6.00,1.31
28.7667,0.2593,1.9964,12.99,4.00,0.84
28.8000,0.2626,2.0243,12.97,4.00,0.89
28.8333,0.2466,1.9000,12.98,4.00,0.84
28.8667,0.2245,1.7248,13.01,4.00,0.80
28.9000,0.2316,1.7776,13.03,4.00,0.88
28.9333,0.2485,1.9084,13.02,4.00,0.94
28.9667,0.2768,2.1227,13.04,5.00,1.05
29.0000,0.3109,2.3831,13.05,5.00,1.07
29.0333,0.4535,3.4992,12.96,6.00,1.46
29.0667,0.7320,5.7663,12.69,7.00,1.82
29.1000,0.3200,2.5554,12.52,6.00,1.30
29.1333,0.2995,2.3864,12.55,6.00,1.29
29.1667,0.3341,2.6596,12.56,6.00,1.54
29.2000,0.3576,2.8444,12.57,6.00,1.56
29.2333,0.4104,3.2553,12.61,7.00,1.53
29.2667,0.3903,3.0880,12.64,7.00,1.64
29.3000,0.4280,3.3838,12.65,8.00,1.72
29.3333,0.4785,3.7847,12.64,8.00,2.00
29.3667,0.5986,4.7499,12.60,9.00,2.06
29.4000,0.6293,5.0333,12.50,8.00,1.99
29.4333,0.4943,3.9756,12.43,7.00,1.70
29.4667,0.6297,5.0731,12.41,10.00,2.48
29.5000,0.6119,4.9414,12.38,10.00,2.27
29.5333,0.0093,0.0748,12.40,0.00,0.00
29.5667,0.7263,5.8602,12.39,11.00,2.81
29.6000,0.8043,6.4923,12.39,14.00,3.08
29.6333,0.9913,8.0234,12.35,16.00,3.35
29.6667,1.2936,10.5007,12.32,22.00,4.16
29.7000,1.8305,14.9485,12.25,33.00,6.28
29.7333,9.0731,117.4883,7.72,38.00,48.97
29.7667,0.3005,9.3881,3.20,4.00,0.85
29.8000,0.1581,5.0492,3.13,4.00,0.74
29.8333,0.2504,8.0572,3.11,4.00,0.92
29.8667,0.1656,5.3268,3.11,3.00,0.59
29.9000,0.1814,5.7818,3.14,4.00,0.70
29.9333,0.1847,5.8559,3.15,4.00,0.67
29.9667,0.2057,6.5263,3.15,4.00,0.70
30.0000,0.1620,5.1376,3.15,4.00,0.60
30.0333,0.1776,5.6019,3.17,3.00,0.57
30.0667,0.1770,5.5580,3.18,4.00,0.65
30.1000,0.2061,6.4764,3.18,4.00,0.67
30.1333,0.1764,5.5203,3.19,4.00,0.65
30.1667,0.1854,5.7342,3.23,4.00,0.57
30.2000,0.1852,5.6796,3.26,4.00,0.66
30.2333,0.2114,6.4653,3.27,4.00,0.59
30.2667,0.1591,4.8551,3.28,4.00,0.61
30.3000,0.1777,5.3791,3.30,3.00,0.61
30.3333,0.1840,5.5363,3.32,4.00,0.62
30.3667,0.2153,6.4708,3.33,4.00,0.63
30.4000,0.1575,4.7136,3.34,4.00,0.63
30.4333,0.1847,5.4789,3.37,3.00,0.53
30.4667,0.1726,5.0922,3.39,4.00,0.67
30.5000,0.1973,5.8107,3.40,4.00,0.48
30.5333,0.1685,4.9427,3.41,4.00,0.60
30.5667,0.1874,5.4531,3.44,4.00,0.53
30.6000,0.2003,5.7956,3.46,4.00,0.75
30.6333,0.2212,6.3791,3.47,4.00,0.61
30.6667,0.2120,6.1034,3.47,4.00,0.75
30.7000,0.2220,6.3446,3.50,4.00,0.85
30.7333,0.2512,7.1106,3.53,5.00,1.26
30.7667,0.2789,7.8488,3.55,5.00,1.31
30.8000,0.3036,8.4834,3.58,6.00,1.68
30.8333,0.3238,8.9484,3.62,6.00,1.68
30.8667,0.3507,9.6126,3.65,7.00,1.87
30.9000,0.3789,10.3394,3.66,7.00,1.70
30.9333,0.4003,10.8691,3.68,7.00,2.19
30.9667,0.4579,12.2817,3.73,8.01,2.47
31.0000,0.5076,13.4449,3.78,11.00,2.58
31.0333,0.5795,15.3121,3.78,11.00,2.94
31.0667,0.5923,15.5746,3.80,12.00,3.18
31.1000,0.6437,16.8250,3.83,14.00,3.12
31.1333,0.7110,18.5827,3.83,17.00,3.13
31.1667,0.7827,20.4052,3.84,17.00,3.91
31.2000,0.8368,21.8490,3.83,24.00,3.57
31.2333,0.9657,25.2401,3.83,31.00,3.82
31.2667,1.0924,28.5129,3.83,36.00,4.10
31.3000,1.0351,29.0899,3.56,34.00,3.88
31.3333,0.4940,15.0104,3.29,7.00,1.98
31.3667,0.4866,14.7097,3.31,8.00,2.05
31.4000,0.4986,14.9967,3.32,9.00,2.40
31.4333,0.4727,14.2311,3.32,8.00,2.25
31.4667,0.4427,13.2219,3.35,8.00,1.99
31.5000,0.4140,12.2427,3.38,8.00,2.18
31.5333,0.4000,11.7515,3.40,7.00,2.03
31.5667,0.3866,11.2874,3.42,8.00,2.23
31.6000,0.3553,10.2788,3.46,6.00,1.62
31.6333,0.3294,9.4081,3.50,6.00,1.82
31.6667,0.3091,8.7273,3.54,6.00,1.65
31.7000,0.2841,7.9476,3.58,6.00,1.60
31.7333,0.2568,7.1182,3.61,5.00,1.11
31.7667,0.2266,6.2269,3.64,4.00,0.93
31.8000,0.2434,6.6491,3.66,4.00,0.78
31.8333,0.2353,6.3940,3.68,4.00,0.87
31.8667,0.2031,5.4862,3.70,4.00,0.53
31.9000,0.1840,4.9469,3.72,4.00,0.51
31.9333,0.2029,5.4514,3.72,4.00,0.44
31.9667,0.1987,5.3503,3.71,4.00,0.48
32.0000,0.1776,4.7760,3.72,3.00,0.35
32.0333,0.1719,4.6033,3.73,4.00,0.54
32.0667,0.1923,5.1424,3.74,3.00,0.44
32.1000,0.1899,5.0876,3.73,4.00,0.55
32.1333,0.1975,5.2978,3.73,3.00,0.65
32.1667,0.1960,5.2517,3.73,4.00,0.79
32.2000,0.2305,6.1642,3.74,4.00,0.74
32.2333,0.2134,5.7106,3.74,4.00,0.76
32.2667,0.2285,6.1290,3.73,4.00,0.87
32.3000,0.2280,6.1129,3.73,4.00,0.99
32.3333,0.2652,7.1161,3.73,4.00,0.98
32.3667,0.2948,7.9181,3.72,5.00,1.16
